Team,Goals,xG,Total shots,Shots on target,SOT %,Total passes,Accurate passes,Pass accuracy %,Possession,Total losses,Low losses,Med Losses,High losses,Total recoveries,Low recoveries,Med recoveries,High recoveries,Total duels,Duels won,Duels success %,Total shots outside box,SOT outside box,SOT outside box %,Total positional attacks,Positional attacks leading to shot,Positional attacks leading to shot %,Total counterattacks,Counterattacks leading to shot,Counterattacks leading to shot %,Total set pieces,Total set pieces with shots,Set piece shot %,Total corners,Total corners with shots,Corner shot %,Total free kicks,Total free kicks with shots,Free kick shot %,Total penalties,Penalties scored,Penalty conversion %,Total crosses,Successful crosses,Cross accuracy %,Deep completed crosses,Deep completed passes,Total box entries,Box entry via run,Box entry via cross,Penalty area touches,Total offensive duels,Offensive duels won,Offensive duels success %,Offsides,Conceded goals,Total shots against,SOT against,SOT against %,Total Def duels,Successful def duels,Def duel success %,Total aerial duels,Successful aerial duels,Aerial duel success %,Total sliding tackles,Successful sliding tackles,Sliding tackle success %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Total forward passes,Successful forward passes,Forward pass success %,Total back passes,Successful back passes,Back pass success %,Total lateral passes,Successful lateral passes,Lateral pass success %,Total long passes,Successful long passes,Long pass success %,Total final third passes,Successful final third passes,Final third pass success %,Total progressive passes,Successful progressive passes,Progressive pass success %,Total smart passes,Successful smart passes,Smart pass success %,Total throws in,Accurate throw ins,Throw in success %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Oppo Goals,Oppo xG,Oppo Total shots,Oppo Shots on target,Oppo SOT %,Oppo Total passes,Oppo Accurate passes,Oppo Pass accuracy %,Oppo Possession,Oppo Total losses,Oppo Low losses,Oppo Med Losses,Oppo High losses,Oppo Total recoveries,Oppo Low recoveries,Oppo Med recoveries,Oppo High recoveries,Oppo Total duels,Oppo Duels won,Oppo Duels success %,Oppo Total shots outside box,Oppo SOT outside box,Oppo SOT outside box %,Oppo Total positional attacks,Oppo Positional attacks leading to shot,Oppo Positional attacks leading to shot %,Oppo Total counterattacks,Oppo Counterattacks leading to shot,Oppo Counterattacks leading to shot %,Oppo Total set pieces,Oppo Total set pieces with shots,Oppo Set piece shot %,Oppo Total corners,Oppo Total corners with shots,Oppo Corner shot %,Oppo Total free kicks,Oppo Total free kicks with shots,Oppo Free kick shot %,Oppo Total penalties,Oppo Penalties scored,Oppo Penalty conversion %,Oppo Total crosses,Oppo Successful crosses,Oppo Cross accuracy %,Oppo Deep completed crosses,Oppo Deep completed passes,Oppo Total box entries,Oppo Box entry via run,Oppo Box entry via cross,Oppo Penalty area touches,Oppo Total offensive duels,Oppo Offensive duels won,Oppo Offensive duels success %,Oppo Offsides,Oppo Conceded goals,Oppo Total shots against,Oppo SOT against,Oppo SOT against %,Oppo Total Def duels,Oppo Successful def duels,Oppo Def duel success %,Oppo Total aerial duels,Oppo Successful aerial duels,Oppo Aerial duel success %,Oppo Total sliding tackles,Oppo Successful sliding tackles,Oppo Sliding tackle success %,Oppo Interceptions,Oppo Clearances,Oppo Fouls,Oppo Yellow cards,Oppo Red cards,Oppo Total forward passes,Oppo Successful forward passes,Oppo Forward pass success %,Oppo Total back passes,Oppo Successful back passes,Oppo Back pass success %,Oppo Total lateral passes,Oppo Successful lateral passes,Oppo Lateral pass success %,Oppo Total long passes,Oppo Successful long passes,Oppo Long pass success %,Oppo Total final third passes,Oppo Successful final third passes,Oppo Final third pass success %,Oppo Total progressive passes,Oppo Successful progressive passes,Oppo Progressive pass success %,Oppo Total smart passes,Oppo Successful smart passes,Oppo Smart pass success %,Oppo Total throws in,Oppo Accurate throw ins,Oppo Throw in success %,Oppo Goal kicks,Oppo Match tempo,Oppo Average passes per possession,Oppo Long pass %,Oppo Average shot distance,Oppo Average pass length,Oppo PPDA
Arsenal,2.39,2.14,16.11,5.79,35.95,540.66,480.11,88.80,57.57,92.13,15.18,28.61,48.34,82.82,30.84,33.08,18.89,197.45,94.24,47.73,5.34,1.11,20.69,32.92,9.92,30.14,2.03,1.05,51.95,23.66,4.63,19.58,6.97,2.29,32.83,1.66,0.53,31.75,0.26,0.26,100.00,14.97,5.24,34.97,5.03,16.32,34.34,8.97,6.84,34.89,68.95,27.71,40.19,2.32,0.76,7.76,2.45,31.53,60.45,37.55,62.12,33.08,14.53,43.91,2.18,1.16,53.01,36.00,11.29,10.24,1.66,0.05,161.45,131.00,81.14,82.71,78.79,95.26,203.97,189.87,93.08,35.26,20.89,59.25,59.76,48.24,80.71,67.66,53.55,79.15,5.47,2.55,46.63,14.76,13.13,88.95,5.21,17.00,5.79,7.02,16.78,17.63,8.99,0.76,0.90,7.76,2.24,28.81,372.84,310.13,83.18,42.43,96.84,26.97,34.37,35.50,73.24,37.39,26.13,9.71,197.45,94.29,47.75,3.37,0.74,21.88,20.32,4.45,21.89,1.39,0.66,47.17,22.08,2.32,10.49,2.97,1.00,33.63,1.76,0.26,14.93,0.08,0.05,66.67,10.11,2.47,24.48,2.55,4.71,16.66,3.61,5.87,11.92,60.45,22.87,37.83,1.50,2.39,16.11,6.05,37.58,68.95,41.24,59.81,33.08,15.47,46.78,3.29,1.74,52.80,39.82,19.39,10.63,2.11,0.05,122.89,87.58,71.26,60.16,56.42,93.79,130.71,117.55,89.93,42.03,23.32,55.48,39.53,27.53,69.64,57.89,34.76,60.05,2.00,0.74,36.84,14.71,13.11,89.09,8.74,15.86,4.18,12.41,18.96,19.23,17.13
Aston Villa,2.00,1.78,12.50,4.92,39.37,448.89,388.95,86.65,54.56,88.21,18.21,30.79,39.21,70.16,33.34,24.68,12.13,187.97,86.42,45.98,4.00,1.00,25.00,25.13,6.63,26.39,2.13,1.26,59.26,28.79,4.13,14.35,6.11,1.71,28.02,1.53,0.39,25.86,0.11,0.11,100.00,15.29,5.03,32.87,4.79,9.79,26.08,5.92,7.50,23.32,77.42,31.24,40.35,1.18,1.61,11.16,4.87,43.63,59.42,34.32,57.75,23.89,10.32,43.17,2.47,1.21,48.94,35.66,11.82,10.92,2.47,0.05,133.26,103.21,77.45,68.05,64.68,95.05,180.47,165.42,91.66,39.21,22.74,57.99,46.97,35.50,75.57,63.61,47.08,74.02,4.08,1.82,44.52,16.18,14.45,89.27,6.42,15.44,4.70,9.15,16.70,19.11,13.73,1.61,1.57,11.16,4.63,41.51,411.50,349.61,84.96,45.44,85.45,18.24,27.13,40.08,72.71,32.92,27.58,12.21,187.97,94.68,50.37,3.50,1.13,32.33,25.21,6.50,25.78,2.03,1.05,51.95,21.32,3.26,15.31,4.24,1.37,32.30,2.13,0.47,22.22,0.05,0.03,50.00,12.45,3.66,29.39,3.66,7.89,23.63,5.68,6.26,20.39,59.39,25.08,42.22,4.45,2.00,12.50,5.16,41.26,77.45,46.18,59.63,23.89,11.18,46.81,3.50,1.76,50.38,38.68,16.34,12.68,2.45,0.11,132.92,99.39,74.78,61.68,58.42,94.71,143.18,128.66,89.85,38.34,20.13,52.51,46.37,30.08,64.87,55.11,38.74,70.30,5.11,1.89,37.11,13.42,11.76,87.65,6.13,16.59,4.49,10.67,16.29,18.62,11.09
Bournemouth,1.42,1.71,13.32,4.95,37.15,357.42,289.79,81.08,46.34,105.76,20.45,36.61,48.71,85.00,36.58,34.00,14.42,233.76,109.13,46.68,5.00,1.63,32.63,30.26,8.16,26.96,2.32,1.29,55.68,23.66,3.32,14.02,6.18,1.71,27.66,2.16,0.37,17.07,0.08,0.05,66.67,15.34,5.34,34.82,5.29,9.16,25.84,5.55,8.29,22.47,75.87,29.05,38.29,1.53,1.76,12.92,5.05,39.10,80.21,48.68,60.70,40.29,16.39,40.69,4.79,2.42,50.55,45.05,18.39,13.24,2.08,0.08,125.97,87.95,69.81,56.63,52.68,93.03,123.32,108.74,88.18,48.92,26.87,54.92,50.92,33.37,65.53,66.95,48.55,72.52,2.50,1.13,45.26,20.32,17.84,87.82,7.05,15.13,3.34,14.05,17.29,20.47,9.48,1.76,1.81,12.92,4.84,37.47,456.87,384.74,84.21,53.66,108.50,22.63,39.92,45.95,85.63,39.58,32.95,13.11,233.76,114.13,48.82,4.63,1.29,27.84,29.37,7.58,25.81,1.89,0.76,40.28,27.32,4.18,15.32,5.63,1.63,28.97,2.61,0.53,20.20,0.18,0.16,85.71,14.47,4.71,32.55,4.45,10.58,26.29,5.63,7.42,23.89,80.18,31.50,39.28,1.32,1.42,13.32,5.18,38.93,75.87,46.82,61.71,40.32,19.63,48.69,4.45,2.42,54.44,42.89,17.42,10.34,2.16,0.05,155.45,115.45,74.27,77.11,72.18,93.62,147.71,132.47,89.68,44.11,24.34,55.19,49.24,34.71,70.50,72.79,51.58,70.86,4.37,2.11,48.19,19.53,17.26,88.41,8.39,16.58,4.26,10.26,17.14,18.57,9.05
Brentford,1.47,1.70,11.32,4.32,38.14,380.32,305.29,80.27,45.17,112.87,23.61,39.05,50.21,87.05,38.11,34.34,14.61,215.95,104.76,48.51,3.53,1.08,30.60,26.87,6.71,24.98,1.84,0.71,38.57,24.03,3.39,14.13,4.84,1.61,33.15,2.95,0.58,19.64,0.08,0.08,100.00,16.89,6.26,37.07,5.82,7.37,25.13,3.87,10.53,21.29,59.24,23.00,38.83,1.84,1.71,13.71,4.97,36.28,76.66,46.61,60.80,42.26,19.11,45.21,3.84,1.92,50.00,45.26,19.21,10.03,2.34,0.05,138.45,95.42,68.92,58.13,54.34,93.48,122.00,105.89,86.80,49.63,27.24,54.88,45.63,30.00,65.74,66.63,45.68,68.56,2.45,0.89,36.56,17.87,15.95,89.25,8.45,16.31,3.69,14.03,16.34,19.52,9.69,1.71,1.52,13.71,4.89,35.70,480.13,409.18,85.22,54.83,110.29,24.29,37.63,48.37,89.39,38.05,36.24,15.11,215.95,99.82,46.22,6.00,1.76,29.39,31.84,8.37,26.28,2.39,1.11,46.15,23.58,4.00,16.96,5.76,1.61,27.85,1.87,0.42,22.54,0.05,0.05,100.00,17.58,5.61,31.89,5.26,10.76,29.84,5.58,10.05,23.53,76.66,30.05,39.20,1.50,1.47,11.32,4.61,40.70,59.26,36.24,61.15,42.24,19.03,45.05,2.58,1.29,50.00,44.26,19.39,11.37,1.89,0.11,151.45,114.92,75.88,76.61,72.84,95.09,163.45,146.39,89.57,43.95,25.50,58.02,55.71,43.26,77.66,71.58,51.79,72.35,3.34,1.55,46.46,19.16,17.03,88.87,7.53,16.89,4.72,10.04,18.29,18.20,9.59
Brighton,1.45,1.69,13.84,5.26,38.02,597.58,534.21,89.40,58.96,92.39,19.39,30.37,42.63,77.97,33.47,29.47,15.03,192.34,92.97,48.34,5.26,1.58,30.00,28.76,8.55,29.73,1.08,0.45,41.46,25.50,4.29,16.82,5.42,1.97,36.41,2.11,0.39,18.75,0.16,0.13,83.33,14.95,5.39,36.09,5.13,10.82,28.58,6.42,8.53,25.24,69.37,27.82,40.10,2.21,1.63,11.71,4.63,39.55,66.82,39.29,58.80,25.89,12.76,49.29,3.16,1.50,47.50,36.18,13.05,10.87,2.32,0.08,174.08,142.13,81.65,102.21,98.00,95.88,213.24,198.76,93.21,34.87,20.61,59.09,55.39,43.55,78.62,71.32,53.21,74.61,3.50,1.39,39.85,14.24,13.13,92.24,6.82,18.00,6.28,6.12,17.36,17.29,10.42,1.63,1.59,11.71,4.32,36.85,387.97,328.00,84.54,41.04,91.53,22.92,30.61,38.00,73.42,33.37,26.92,13.13,192.34,92.13,47.90,3.74,1.08,28.87,24.45,6.87,28.09,1.87,1.00,53.52,23.39,3.34,14.29,4.37,1.42,32.53,1.87,0.45,23.94,0.16,0.16,100.00,12.71,4.05,31.88,4.00,8.58,23.18,6.24,6.24,21.08,66.82,27.53,41.20,1.79,1.45,13.84,5.58,40.30,69.37,41.55,59.90,25.89,10.82,41.77,3.87,2.16,55.78,40.74,15.76,12.08,2.55,0.13,128.97,96.16,74.56,63.92,60.89,95.27,127.82,114.53,89.60,37.26,19.74,52.97,40.34,27.68,68.62,58.39,39.71,68.00,2.95,1.47,50.00,14.76,13.34,90.37,7.53,16.68,4.26,10.67,17.27,18.80,18.13
Burnley,1.08,1.21,10.61,3.66,34.49,414.11,343.68,82.99,49.17,106.58,23.68,39.24,43.66,84.16,36.92,34.34,12.89,201.71,94.61,46.90,4.42,1.37,30.95,24.50,6.11,24.92,1.42,0.68,48.15,23.08,3.39,14.71,4.71,1.45,30.73,2.03,0.42,20.78,0.08,0.08,100.00,12.18,3.37,27.65,3.37,6.95,21.34,5.18,6.29,18.32,59.68,23.08,38.67,2.00,2.05,14.97,6.39,42.71,68.13,40.53,59.48,39.95,17.29,43.28,3.18,1.68,52.89,42.82,17.97,11.21,1.95,0.18,132.21,93.58,70.78,72.32,68.29,94.43,148.26,132.50,89.37,44.89,23.18,51.64,46.47,31.71,68.23,62.18,40.16,64.58,2.82,0.95,33.64,17.66,15.24,86.29,7.50,15.70,4.21,11.56,18.08,19.61,12.69,2.05,2.06,14.97,6.29,42.00,465.11,394.76,84.88,50.83,106.89,19.47,39.32,48.11,87.42,35.92,35.53,15.97,201.71,97.76,48.47,5.13,1.63,31.79,29.63,8.87,29.93,2.39,1.00,41.76,25.26,4.47,17.71,6.37,2.00,31.40,2.08,0.50,24.05,0.18,0.16,85.71,15.92,5.82,36.53,5.74,11.32,29.68,7.24,9.16,27.13,68.13,27.61,40.52,2.45,1.08,10.61,3.89,36.72,59.68,36.61,61.33,39.95,19.42,48.62,3.45,1.79,51.91,38.89,15.61,9.76,2.18,0.08,148.89,110.97,74.53,72.16,67.97,94.20,174.84,158.18,90.47,44.68,24.95,55.83,52.71,35.66,67.65,69.92,50.87,72.75,4.34,2.11,48.48,18.32,16.37,89.37,6.97,16.86,4.62,10.72,16.38,19.36,11.46
Chelsea,2.03,1.93,13.55,5.53,40.78,552.29,487.53,88.27,57.11,99.08,22.18,33.66,43.24,79.21,37.34,28.18,13.68,200.66,97.26,48.47,5.26,1.55,29.50,29.08,7.53,25.88,2.42,1.24,51.09,25.74,3.89,15.13,5.32,1.16,21.78,1.74,0.50,28.79,0.32,0.29,91.67,12.66,3.66,28.90,3.66,11.05,27.61,7.18,6.92,23.55,76.08,32.13,42.23,2.24,1.66,13.82,5.03,36.38,67.84,38.97,57.45,27.13,13.13,48.40,2.89,1.21,41.82,39.76,16.03,11.55,2.84,0.11,168.68,134.74,79.88,88.76,84.79,95.52,204.11,189.53,92.86,37.97,21.95,57.80,52.16,40.39,77.45,72.08,52.74,73.17,5.79,2.66,45.91,15.95,14.76,92.57,7.53,18.05,5.60,7.30,17.58,17.86,10.37,1.66,1.69,13.82,4.87,35.24,376.16,314.32,83.56,42.89,95.97,19.74,31.05,45.18,77.97,33.18,30.66,14.13,200.66,96.37,48.03,5.03,1.42,28.27,27.97,7.87,28.13,1.97,1.05,53.33,24.32,4.11,16.88,5.00,2.00,40.00,2.95,0.68,23.21,0.13,0.08,60.00,15.82,5.42,34.28,5.55,8.50,25.58,5.82,8.45,23.84,67.84,28.87,42.55,1.82,2.03,13.55,5.68,41.94,76.08,43.95,57.77,27.13,11.37,41.90,5.08,2.39,47.15,42.11,15.89,12.16,2.55,0.11,128.47,97.05,75.54,60.76,56.84,93.55,124.00,109.11,87.99,37.50,21.58,57.54,43.47,30.39,69.92,58.26,42.16,72.36,3.08,1.37,44.44,16.84,14.95,88.75,6.68,16.27,3.79,11.08,17.46,18.87,13.93
Crystal Palace,1.50,1.40,10.89,4.32,39.61,381.87,315.08,82.51,42.30,105.34,23.66,39.84,41.84,85.92,39.03,34.34,12.55,224.74,108.58,48.31,4.34,1.47,33.94,25.74,5.82,22.60,2.03,0.87,42.86,23.37,3.55,15.20,4.68,1.61,34.27,3.13,0.66,21.01,0.11,0.11,100.00,12.24,3.55,29.03,3.55,7.13,20.16,3.84,6.37,16.89,76.82,29.32,38.16,1.82,1.53,11.26,4.11,36.45,75.97,47.76,62.87,36.21,16.95,46.80,4.37,2.45,56.02,44.39,20.13,11.95,1.87,0.05,131.18,93.29,71.11,64.71,60.92,94.14,124.00,109.95,88.67,42.84,22.82,53.26,44.82,30.50,68.06,66.89,46.00,68.76,2.61,1.16,44.44,18.97,16.53,87.10,6.79,16.70,3.81,11.83,17.40,18.99,12.84,1.53,1.43,11.26,3.97,35.28,543.29,469.50,86.42,57.70,110.47,20.05,38.68,51.74,85.63,34.84,35.55,15.24,224.74,106.24,47.27,3.47,0.87,25.00,29.92,6.55,21.90,1.53,0.66,43.10,24.82,3.71,14.95,5.18,1.63,31.47,2.29,0.82,35.63,0.08,0.08,100.00,16.53,5.63,34.08,5.13,8.39,26.42,4.03,9.76,21.45,76.00,28.21,37.12,2.03,1.50,10.89,4.53,41.55,76.79,47.47,61.82,36.21,15.79,43.60,2.66,1.29,48.51,38.26,15.03,11.55,2.03,0.05,162.50,123.53,76.02,87.42,83.03,94.97,205.16,188.58,91.92,47.34,27.47,58.03,60.58,45.03,74.33,72.50,53.79,74.19,3.82,1.68,44.14,20.63,19.05,92.35,6.53,17.11,5.31,9.71,16.15,18.73,9.81
Everton,1.05,1.70,12.45,3.92,31.50,349.16,276.66,79.24,41.21,106.71,19.58,35.00,52.13,87.76,37.29,35.37,15.11,210.68,102.32,48.56,4.84,0.89,18.48,28.61,7.63,26.68,1.87,0.63,33.80,22.03,3.71,16.85,4.76,1.87,39.23,3.34,0.95,28.35,0.08,0.05,66.67,15.79,4.76,30.17,4.74,6.68,24.74,3.16,10.05,17.34,58.92,21.61,36.67,2.34,1.34,12.95,4.71,36.38,76.26,47.42,62.18,41.39,19.97,48.25,5.58,3.42,61.32,46.24,20.13,11.92,2.16,0.03,131.68,90.32,68.59,57.39,53.61,93.40,106.26,89.76,84.47,50.74,28.45,56.07,50.63,32.00,63.20,68.55,48.92,71.36,1.97,0.76,38.67,20.11,18.05,89.79,7.29,16.23,3.31,15.35,17.51,20.48,12.76,1.34,1.72,12.95,4.42,34.15,528.61,450.42,85.21,58.79,114.55,24.45,40.50,49.61,86.45,42.11,30.76,13.58,210.68,98.61,46.80,4.92,1.21,24.60,30.24,7.39,24.46,1.79,0.87,48.53,27.82,4.16,14.95,6.37,2.21,34.71,2.29,0.53,22.99,0.21,0.21,100.00,16.68,5.21,31.23,5.16,9.26,28.66,6.26,9.34,23.39,76.26,28.84,37.82,1.58,1.05,12.45,4.13,33.19,58.89,37.29,63.32,41.42,17.92,43.27,2.66,1.32,49.50,41.53,17.50,9.74,1.61,0.05,172.18,130.45,75.76,81.34,76.82,94.44,197.18,178.61,90.58,46.89,25.34,54.04,56.00,39.50,70.54,76.05,52.82,69.45,2.66,0.79,29.70,21.68,19.55,90.17,8.26,16.94,4.85,9.53,17.17,19.05,9.70
Fulham,1.45,1.54,12.29,4.58,37.26,468.68,396.39,84.58,49.69,103.76,23.50,37.45,42.82,80.16,36.97,30.76,12.42,197.74,95.58,48.34,4.68,1.42,30.34,26.37,6.71,25.45,2.53,1.26,50.00,24.95,3.92,15.72,5.58,2.18,39.15,1.63,0.37,22.58,0.05,0.05,100.00,17.29,5.76,33.33,5.71,8.16,26.34,3.55,10.68,20.16,60.66,23.87,39.35,1.32,1.61,13.00,5.34,41.09,70.66,43.66,61.79,31.24,14.18,45.41,4.11,1.58,38.46,43.05,17.82,10.05,2.13,0.11,152.00,115.08,75.71,71.84,67.45,93.88,174.16,156.21,89.69,44.55,25.71,57.71,48.16,33.89,70.38,72.24,50.45,69.84,3.29,1.50,45.60,18.29,16.63,90.94,7.82,17.35,4.73,10.02,17.23,19.09,13.45,1.61,1.81,13.00,5.13,39.47,468.95,401.26,85.57,50.32,100.37,19.13,32.95,48.29,83.00,34.58,33.03,15.39,197.74,93.39,47.23,4.82,1.71,35.52,28.08,7.63,27.18,1.95,1.11,56.76,22.58,3.55,15.73,4.95,1.53,30.85,2.63,0.76,29.00,0.21,0.21,100.00,13.47,4.11,30.47,4.34,8.97,25.08,5.03,7.79,22.11,70.66,27.00,38.21,2.61,1.45,12.29,4.82,39.19,60.66,36.79,60.65,31.24,14.26,45.66,2.71,1.16,42.72,44.45,17.32,10.08,1.71,0.00,149.89,113.55,75.75,74.66,70.50,94.43,171.24,155.53,90.83,41.34,23.50,56.84,53.47,37.89,70.87,66.05,48.76,73.82,3.58,1.39,38.97,17.08,15.37,89.98,7.45,16.79,4.83,9.93,17.04,18.78,11.89
